serial_scrambled,BSA21_final_wt,DVSex21,Ragecat,HHincomex,RClassGP,hedqual2x,MarStat6x,HhlChlGpdx,PMSx,HomoSexx,Partyfwx,Politicsx,Votedx,Spend1x,dolex,TAXSPENDx,EQOPPGAYx,EQOPPTx,CHOPWOMMx,EQOPPBLKx,TBirCertx,EqOpDisx,EqOpMhx,welfare2,leftrigh,libauth,NHSSatx,GPSatx,NHSFProbx,NHSAccx
1006511,0.724770603793868,Female,25-34,"Less than £1,410 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Green Party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,About right,3.25,1.4,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1006512,1.1682021897628,Male,25-34,Prefer not to answer,Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Green Party,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.125,2.2,2.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1021071,0.670667855032393,Female,25-34,"£2,561 - £4,350 per month",Small employers and own account workers,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Liberal Democrat,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.0,3.6,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1029451,0.681264037794573,Male,35-44,"£2,561 - £4,350 per month",Intermediate occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.0,1.6,2.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1029452,0.43252577391159,Female,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.0,2.0,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1014161,0.418125251908492,Female,45-54,Prefer not to answer,Don't know/Prefer not to answer,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Other party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,1.5,1.2,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1007411,1.13984817045493,Female,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.125,2.2,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1007412,2.05567595518133,Female,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.75,3.4,4.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1033981,0.858550519626106,Female,65+,Prefer not to answer,Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Single (never married/never in a civil partnership),No,Prefer not to answer,Prefer not to answer,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Prefer not to answer,Prefer not to answer,4.0,4.2,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1016641,0.5504026614658,Male,60-64,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,4.0,3.6,4.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
